project,desc,assigned to,reported by,category,priority
Smart Jewel,branch file import problem,jaytur,reception,Support,high
Smart Jewel,softaware close(urgent),krishna,reception,Support,V.Urgent
Smart Jewel,janghar issue,shubham,reception,Support,high
Smart Jewel,New Year Generate,krishna,reception,Support,high
Smart Jewel,print problem,Heta,reception,Support,high
SJE Plus,tag setting and balance sheet not show,prakash,reception,Support,high
Smart Jewel,print option error,reception,reception,Report,V.Urgent
Smart Jewel,stock as on issue,jaytur,reception,Support,V.Urgent
Smart Jewel,installation,Heta,reception,Support,V.Urgent
Smart Jewel,software update,Jagruti,reception,Support,high
Smart Jewel,excel entry issue,ashit,reception,Support,high
Smart Jewel,old year order changes issue,shubham,reception,Support,high
Smart Jewel,image problem,Sajeda,reception,Support,high
Smart Jewel,ask some issue,Heta,reception,Support,high
Smart Jewel,customer user column not add,Sajeda,reception,Support,V.Urgent
Smart Jewel,order field edit,shubham,reception,Support,high
Smart Jewel,cut off,Sajeda,reception,Support,high
Smart Jewel,image issue,Jagruti,reception,Support,V.Urgent
Smart Jewel,dollar rate change,ketan,reception,Support,V.Urgent
Smart Jewel,sql table issue,Krupa,reception,Support,high
Smart Jewel,jewelry inward issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,sms package transfer in software,Sajeda,reception,Support,V.Urgent
Smart Jewel,net loss issue,krishna,reception,Support,V.Urgent
Smart Jewel,tag print error,jaytur,reception,Tag,high
Smart Jewel,product image issue,chiranjiv,reception,Support,high
Smart Jewel,software update,shubham,reception,Support,V.Urgent
Smart Jewel,quotation shiv size add,Heta,reception,Support,V.Urgent
SJE Plus,installation,Jagruti,reception,Installation,V.Urgent
Smart Jewel,material recovery option issue,shubham,reception,Support,high
Smart Jewel,repair order issue,Sajeda,reception,Support,high
Smart Jewel,ask how to export data,Heta,reception,Support,V.Urgent
Smart Jewel,stock valuation entry add problem,vipul,reception,Support,high
Smart Jewel,category create,krishna,reception,Support,V.Urgent
Smart Jewel,standing instruction issue,kapil,reception,Support,high
Smart Jewel,barcode making charge issue,Heta,reception,Support,V.Urgent
Smart Jewel,date change,Jagruti,reception,Support,V.Urgent
Smart Jewel,some issue,chiranjiv,reception,Support,V.Urgent
Smart Jewel,cut off,Sajeda,reception,Support,V.Urgent
Smart Jewel,new year generate,Heta,reception,Support,high
Smart Jewel,new year generate ,Jagruti,reception,Support,high
Smart Jewel,As Per mail Report changes,drashti,drashti,Report,high
Smart Jewel,style master image problem,krishna,reception,Support,high
Smart Jewel,make report,drashti,reception,Report,V.Urgent
Smart Jewel,in bill raw add,Heta,reception,Report,high
Smart Jewel,packing list error,Sajeda,reception,Report,V.Urgent
Smart Jewel,invoice print problem,Sajeda,reception,Report,high
Smart Jewel,jewelry stock as on issue,krishna,reception,Support,V.Urgent
Smart Jewel,finalize issue,Sajeda,reception,Support,high
Smart Jewel,wip report issue,sarika,reception,Report,V.Urgent
Smart Jewel,in tag quality change problem,drashti,reception,Support,high
SJE Plus,tax invoice same as rosetta report ,drashti,drashti,Report,V.Urgent
Smart Jewel,item po no. problem,prakash,reception,Support,high
Smart Jewel,in bag transaction item size issue,gaurav,reception,Support,V.Urgent
Smart Jewel,installation,Jagruti,reception,Support,V.Urgent
Smart Jewel,ask manufacturing issue,Sajeda,reception,Support,high
Smart Jewel,mina entry return save problem,shubham,reception,Support,high
Smart Jewel,material issue,Sajeda,reception,Support,high
Smart Jewel,New Tag and dcb format some details not show,drashti,drashti,Report,high
Smart Jewel,software update(urgent),Sajeda,reception,Support,V.Urgent
Smart Jewel,tag print issue (urgent),Heta,reception,Report,V.Urgent
Smart Jewel,cost price not show,Sajeda,reception,Support,high
Smart Jewel,material conversion issue,krishna,reception,Support,V.Urgent
Smart Jewel,ask mm size wise shiv size,Sajeda,reception,Support,V.Urgent
Smart Jewel,ask sale issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,sales return inward entry ,krishna,reception,Support,high
Smart Jewel,make rate chart,Sajeda,reception,Support,V.Urgent
Smart Jewel,software close,Sajeda,reception,Support,V.Urgent
Smart Jewel,software close,krishna,reception,Support,V.Urgent
Smart Jewel,bag print issue,drashti,reception,Report,high
Smart Jewel,in tag +11 problem,prakash,reception,Support,high
Smart Jewel,ask about fz,krishna,reception,Support,V.Urgent
Smart Jewel,software close,drashti,reception,Support,V.Urgent
Smart Jewel,in pakka bill addless issue(urgent bill give to clint),Jagruti,reception,Report,V.Urgent
Smart Jewel,silver purchase issue,sarika,reception,Support,V.Urgent
Smart Jewel,entry error(urgent),sarika,reception,Support,V.Urgent
Smart Jewel,diamond price not show,krishna,reception,Support,V.Urgent
Smart Jewel,item receive problem,Sajeda,reception,Support,high
Smart Jewel,print option not show,Heta,reception,Report,V.Urgent
Smart Jewel,software close,krishna,reception,Support,high
Smart Jewel,po report ,Jagruti,reception,Report,high
Smart Jewel,ADD PARTY CS RAW MATERIAL AND RUN SCRIPT AS GIVEN RITESH SIR,sarika,sarika,New Req,V.Urgent
Smart Jewel,image problem,Jagruti,reception,Support,high
Smart Jewel,report format set,Jagruti,reception,Report,high
Smart Jewel,tag changes,Sajeda,reception,Support,V.Urgent
SJE Plus,Jewellery Summary Report Create ,drashti,drashti,Report,high
Smart Jewel,software close,Jagruti,reception,Support,high
Smart Jewel,bag transaction problem,sarika,reception,Support,high
Smart Jewel,ledger issue,krishna,reception,Support,V.Urgent
Smart Jewel,how many peace show and style item issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,ask self merge self split,Sajeda,reception,Support,V.Urgent
Smart Jewel,print problem,Sajeda,reception,Report,high
Smart Jewel,in order print quality problem,drashti,reception,Report,high
Smart Jewel,summery report total problem,krishna,reception,Report,high
Smart Jewel,alloy problem and repairing book make,Sajeda,reception,Support,high
Smart Jewel,account number add in bill,drashti,reception,Report,high
Smart Jewel,certificate print error,shubham,reception,Report,high
Smart Jewel,bag out error(urgent),ashit,reception,Support,V.Urgent
Smart Jewel,style delete,sarika,reception,Support,V.Urgent
SJE Plus,As per mail new report create ,drashti,drashti,Report,high
Smart Jewel,sje plus installation,Jagruti,reception,Support,V.Urgent
Smart Jewel,book master edit issue,drashti,reception,Support,V.Urgent
Smart Jewel,Want to set loss % department wise in daily transaction Activate tolerance,sarika,sarika,New Req,high
Smart Jewel,bank account make,sarika,reception,Support,V.Urgent
Smart Jewel,report print problem,Jagruti,reception,Report,V.Urgent
Smart Jewel,entry error,drashti,reception,Support,high
Smart Jewel,photo not show,krishna,reception,Support,V.Urgent
SJE Plus,sje plus installation,Sajeda,reception,Support,V.Urgent
Smart Jewel,quotation p issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,material stock problem,Ritesh,reception,Support,high
Smart Jewel,server name problem,prakash,reception,Support,high
Smart Jewel,PDP DATA MIGRATION,Jagruti,sarika,New Req,V.Urgent
Smart Jewel,software issue,sarika,reception,Support,high
Smart Jewel,New Report Create ,Heta,reception,Report,V.Urgent
Smart Jewel, remarks not add in purchase,shubham,reception,Support,V.Urgent
Smart Jewel,diamond print problem,Jagruti,reception,Report,high
Smart Jewel,Ledger Report Company Add wrong show,drashti,drashti,Report,high
Smart Jewel,print format issue,drashti,reception,Report,high
Smart Jewel,packing list issue,Sajeda,reception,Support,high
Smart Jewel,bill format issue,drashti,reception,Report,V.Urgent
Smart Jewel,gst rounding issue,krishna,reception,Support,high
Smart Jewel,ask data transfer,Jagruti,reception,Support,V.Urgent
Smart Jewel,installation,Jagruti,reception,Support,V.Urgent
Smart Jewel,Job work Configuration in Viswa Devji and D Gemmount,Sajeda,sarika,New Req,V.Urgent
Smart Jewel,labour change problem,krishna,reception,Support,high
Smart Jewel,old entry delete issue,krishna,reception,Support,high
Smart Jewel,bill issue(V.Urgent),Jagruti,reception,Report,V.Urgent
Smart Jewel,gst issue,Jagruti,reception,Support,V.Urgent
Smart Jewel,balance sheet issue,sarika,reception,Support,V.Urgent
Smart Jewel,bag entry stop,Sajeda,reception,Support,high
Smart Jewel,PDP SJE PLUS INSTALATION,Jagruti,sarika,New Req,V.Urgent
Smart Jewel,pdf file not save,krishna,reception,Support,V.Urgent
Smart Jewel,4 Order Report Import and some changes,drashti,drashti,Report,high
Smart Jewel,data not open,shubham,reception,Support,V.Urgent
Smart Jewel,in report gst calculation problem,Heta,reception,Report,high
Smart Jewel,application not found,Jagruti,reception,Support,high
Smart Jewel,in tag 22 carat weight problem,krishna,reception,Support,high
Smart Jewel,bag transaction not save ,ashit,reception,Support,high
Smart Jewel,software close,Jagruti,reception,Support,high
Smart Jewel,software error,Heta,reception,Support,V.Urgent
Smart Jewel,cloud software issue,vipul,reception,Support,V.Urgent
Smart Jewel,bag split error,Sajeda,reception,Support,V.Urgent
Smart Jewel,logging problem,shubham,reception,Support,V.Urgent
Smart Jewel,ask purchase issue,sarika,reception,Support,V.Urgent
Smart Jewel,Software problem,Sajeda,reception,Support,high
Smart Jewel,explain report from material stock book or stock details report,sarika,reception,Report,high
Smart Jewel,entry not save,krishna,reception,Support,V.Urgent
Smart Jewel,all reports remove ,drashti,reception,Report,high
Smart Jewel,stock print out how show,krishna,reception,Support,high
Smart Jewel,in bill gst  not show,Heta,reception,Report,high
Smart Jewel,Cad Photo Export Image in Estimate Invoice,krishna,reception,Support,V.Urgent
Smart Jewel,metal 22 carat convert issue,sarika,reception,Support,high
Smart Jewel,image path set,Jagruti,reception,Support,V.Urgent
Smart Jewel,setting report issue,Sajeda,reception,Report,V.Urgent
Smart Jewel,jewellery purchase problem,krishna,reception,Support,high
Smart Jewel,qr code small show and tag data not show,drashti,reception,Support,V.Urgent
Smart Jewel,printer setup,Heta,reception,Report,V.Urgent
Smart Jewel,bar code not scan,Heta,reception,Support,V.Urgent
Smart Jewel,report print problem,Jagruti,reception,Report,high
Smart Jewel,in sale bill code issue,Heta,reception,Report,V.Urgent
Smart Jewel,delivery challan format changes,drashti,reception,Report,high
Smart Jewel,all report error and all report not open,drashti,reception,Report,high
Smart Jewel,path error ,Heta,reception,Support,high
Smart Jewel,item update,krishna,reception,Support,high
Smart Jewel,Detail Order Printing Report Not Open As Per Mail,ketan,reception,bug,high
Smart Jewel,bill not show,Heta,reception,Report,V.Urgent
Smart Jewel,packing list total issue,drashti,reception,Report,high
Smart Jewel,approval pdf issue,Sajeda,reception,Support,high
Smart Jewel,bag split issue,drashti,reception,Report,high
Smart Jewel,tag wrong show,Jagruti,reception,Support,V.Urgent
Smart Jewel,chanani add in style master,krishna,reception,Support,high
Smart Jewel,in importer excel format not found,krishna,reception,Support,high
Smart Jewel,entry lock issue,shubham,reception,Support,high
Smart Jewel,screen  not clear,krishna,reception,Support,high
Smart Jewel,design master problem,sarika,reception,Support,V.Urgent
Smart Jewel,software close,Jagruti,reception,Support,V.Urgent
Smart Jewel,report format set,drashti,reception,Report,high
Smart Jewel,software close,Sajeda,reception,Support,V.Urgent
Smart Jewel,memo receive how to delete,krishna,reception,Support,high
Smart Jewel,in report gst problem,Heta,reception,Report,high
Smart Jewel,accessory purchase,sarika,reception,Support,high
Smart Jewel,party bill check problem,drashti,reception,Report,high
Smart Jewel,report issue and images not show ,drashti,drashti,Report,high
Smart Jewel,software error,krishna,reception,Support,V.Urgent
Smart Jewel,give point to sajeda ,Sajeda,reception,Support,high
Smart Jewel,jmd option style number not show,krishna,reception,Support,high
Smart Jewel,bag finalize not show(urgent),shubham,reception,Support,V.Urgent
Smart Jewel,bill and approval not save,krishna,reception,Support,V.Urgent
Smart Jewel,some change in update software ,Heta,reception,Support,high
Smart Jewel,ledger entry issue,drashti,reception,Report,high
Smart Jewel,bag delete problem,Sajeda,reception,Support,high
Smart Jewel,software close,Jagruti,reception,Support,V.Urgent
Smart Jewel,diamond entry level problem,krishna,reception,Support,high
Smart Jewel,column remove issue,ashit,reception,Report,high
Smart Jewel,bill print error,Jagruti,reception,Report,V.Urgent
Smart Jewel,gst number and pan number not show,shubham,reception,Support,high
Smart Jewel,software close,Jagruti,reception,Support,V.Urgent
Smart Jewel,software update and jewelry importer,krishna,reception,Support,V.Urgent
Smart Jewel,entry edit issue and order no issue,krishna,reception,Support,high
Smart Jewel,export return issue,sarika,reception,Support,V.Urgent
Smart Jewel,quotation issue (As Per mail),drashti,reception,Report,high
Smart Jewel,bag spilt issue,krishna,reception,Support,high
Smart Jewel,receive settlement issue,krishna,reception,Support,high
Smart Jewel,metal settlement issue,krishna,reception,Support,V.Urgent
Smart Jewel,tag metal issue,krishna,reception,Support,high
Smart Jewel,approval  print error,shubham,reception,Report,V.Urgent
Smart Jewel,credit correction,Heta,reception,Support,V.Urgent
Smart Jewel,bill print name not show,Heta,reception,Report,high
Smart Jewel,tag print issue,Heta,reception,Support,high
Smart Jewel,tag issue(v.urgent),shubham,reception,Support,high
Smart Jewel,bag generate issue,Heta,reception,Support,V.Urgent
Smart Jewel,all reports terms condition changes and gmail configuration setup,drashti,drashti,Report,high
Smart Jewel,material settlement issue,sarika,reception,Support,high
Smart Jewel,new year generate ,Sajeda,reception,Support,V.Urgent
Smart Jewel,report issue,vipul,reception,Report,high
Smart Jewel,peace on hand issue(Urgent),krishna,reception,Support,V.Urgent
Smart Jewel,software update issue,Heta,reception,Support,high
Smart Jewel,bill issue,Jagruti,reception,Report,high
Smart Jewel,jewellery stock as on issue,krishna,reception,Support,high
Smart Jewel,billing issue,Jagruti,reception,Report,high
Smart Jewel,production report issue(Urgent data not show),shubham,reception,Support,V.Urgent
Smart Jewel,ask some issue,krishna,reception,Support,high
Smart Jewel,software hang,sarika,reception,Support,V.Urgent
Smart Jewel,tag data set(urgent),drashti,reception,Support,V.Urgent
Smart Jewel,bag finalise problem,Sajeda,reception,Support,high
Smart Jewel,Cash voucher report changes,Jagruti,Jagruti,Report,V.Urgent
Smart Jewel,software close,Heta,reception,Support,V.Urgent
Smart Jewel,diamond return voucher edit ,krishna,reception,Report,V.Urgent
Smart Jewel,material return issue,ashit,reception,Support,high
Smart Jewel,tag preview problem and report print problem,Jagruti,reception,Tag,high
Smart Jewel,manufacture metal show problem,sarika,reception,Support,high
Smart Jewel,report show,krishna,reception,Support,high
Smart Jewel,retail bill customer name show problem,drashti,reception,Report,high
Smart Jewel,bag rejection not show,krishna,reception,Support,V.Urgent
SJE Plus,po number not show,krishna,reception,Support,high
Smart Jewel,metal rate show zero and image not show,Jagruti,reception,Support,V.Urgent
Smart Jewel,delete entry return  ,krishna,reception,Support,V.Urgent
Smart Jewel,ask rate set up,Jagruti,reception,Support,high
Smart Jewel,path issue,gaurav,reception,Support,high
Smart Jewel,branch file option not show,krishna,reception,Support,V.Urgent
Smart Jewel,ask karigar diamond issue,ashit,reception,Support,high
Smart Jewel,report issue,Sajeda,reception,Report,high
Smart Jewel,some changes,krishna,reception,Support,high
Smart Jewel,ask material as on issue,gaurav,reception,Support,high
Smart Jewel,format sat,Jagruti,reception,Report,high
Smart Jewel,Make IGI report Shapewise,Jagruti,Jagruti,Report,high
Smart Jewel,print file not open,Jagruti,reception,Report,V.Urgent
Smart Jewel,one entry add,krishna,reception,Report,high
Smart Jewel,software close,Heta,reception,Support,high
Smart Jewel,take back up,krishna,reception,Support,high
Smart Jewel,bag generate issue(urgent),vipul,reception,Support,V.Urgent
Smart Jewel,report formula sat,drashti,reception,Report,high
Smart Jewel,memo receive batch number issue,Sajeda,reception,Support,high
Smart Jewel,report issue,drashti,reception,Report,high
Smart Jewel,stock show in mains,shubham,reception,Support,V.Urgent
Smart Jewel,Bag print changes,drashti,drashti,Report,high
Smart Jewel,ask some douts,shubham,reception,Support,high
Smart Jewel,color stone report ,drashti,reception,Report,high
Smart Jewel,lay out make for stock(urgent),krishna,reception,Support,V.Urgent
Smart Jewel,export invoice wrong show,drashti,reception,Report,V.Urgent
Smart Jewel,software close,krishna,reception,Support,V.Urgent
Smart Jewel,in tag 14 kt not show,krishna,reception,Support,high
Smart Jewel,software close,krishna,reception,Support,V.Urgent
Smart Jewel,software close,Jagruti,reception,Support,high
Smart Jewel,software close,Heta,reception,Support,V.Urgent
Smart Jewel,bag transaction history problem,krishna,reception,Support,high
Smart Jewel,order quotation report,drashti,reception,Report,V.Urgent
Smart Jewel,customer stone how to add,krishna,reception,Support,high
Smart Jewel,Make sale invoice,Jagruti,Jagruti,Report,V.Urgent
Smart Jewel,sale return issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,diamond quality how to add,krishna,reception,Support,V.Urgent
Smart Jewel,credit note issue,drashti,reception,Report,V.Urgent
Smart Jewel,in report small issue,Jagruti,reception,Report,V.Urgent
Smart Jewel,Clint diamond show in mains,krishna,reception,Support,V.Urgent
Smart Jewel,Clint gst number not show,krishna,reception,Support,high
Smart Jewel,calculation issue,sarika,reception,Support,high
Smart Jewel,rate problem,Sajeda,reception,Support,high
Smart Jewel,installation,Heta,reception,Support,V.Urgent
Smart Jewel,bag finalize issue,sarika,reception,Support,V.Urgent
Smart Jewel,path issue,drashti,reception,Support,high
Smart Jewel,node 3 installation,Jagruti,reception,Support,high
Smart Jewel,gold receive problem,sarika,reception,Support,high
Smart Jewel,self inward problem,shubham,reception,Support,high
Smart Jewel,igi issue,sarika,reception,Support,V.Urgent
Smart Jewel,software error,Jagruti,reception,Support,V.Urgent
Smart Jewel,in tag mrp add,Jagruti,reception,Support,high
Smart Jewel,Make tag without GST,Jagruti,Jagruti,Tag,high
Smart Jewel,sale register correction,Jagruti,Jagruti,Report,high
Smart Jewel,order image issue,sarika,reception,Support,high
Smart Jewel,diamond sale report(v.urgent),drashti,reception,Report,V.Urgent
Smart Jewel,bag no load issue,krishna,reception,Support,high
Smart Jewel,script run,Sajeda,reception,Support,V.Urgent
Smart Jewel,cost sheet amount wrong problem,chiranjiv,reception,Report,high
Smart Jewel,report changes,drashti,reception,Report,high
Smart Jewel,software update,Jagruti,reception,Support,high
Smart Jewel,billing format issue,Jagruti,reception,Report,high
Smart Jewel,tag cut problem(Urgent),krishna,reception,Support,V.Urgent
Smart Jewel,software close,Jagruti,reception,Support,high
Smart Jewel,tag issue,krishna,reception,Support,V.Urgent
Smart Jewel,ask about report,drashti,reception,Report,V.Urgent
Smart Jewel,gold tag color not show,krishna,reception,Support,high
Smart Jewel,other metal issue,vipul,reception,Support,high
Smart Jewel,ask about pending amount,krishna,reception,Support,high
Smart Jewel,style master issue,krishna,reception,Support,high
Smart Jewel,bag generate issue,chiranjiv,reception,Support,high
Smart Jewel,making charge not show in style master,sarika,reception,Support,high
Smart Jewel,Voucher Book Diamond Weight Column Required in 3 digit,krishna,reception,Support,V.Urgent
Smart Jewel,job bag print problem,Jagruti,reception,Report,high
Smart Jewel,printing problem,Jagruti,reception,Report,high
Smart Jewel,software close,sarika,reception,Support,V.Urgent
Smart Jewel,client wise dew report payment problem,krishna,reception,Support,high
Smart Jewel,in style master some delete,sarika,reception,Support,high
Smart Jewel,color stone invoice make,drashti,reception,Report,V.Urgent
Smart Jewel,weight - problem,shubham,reception,Support,high
Smart Jewel,Approval Process Training,Heta,reception,Support,V.Urgent
Smart Jewel,order Print Format grand total not show(urgent),drashti,reception,Report,V.Urgent
Smart Jewel,Make packing list report,Jagruti,Jagruti,Report,high
Smart Jewel,Invoice Discount Column Add,drashti,reception,Report,V.Urgent
Smart Jewel,cloud not connect,vipul,reception,Support,V.Urgent
Smart Jewel,report error,Heta,reception,Report,high
Smart Jewel,software close,Jagruti,reception,Support,high
Smart Jewel,software issue,shubham,reception,Support,V.Urgent
Smart Jewel,print option issue,drashti,reception,Report,high
Smart Jewel,software issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,bag print issue,Heta,reception,Support,high
Smart Jewel,software update,Jagruti,reception,Support,high
Smart Jewel,tikli entry level problem,shubham,reception,Support,V.Urgent
Smart Jewel,ask repairing entry,chiranjiv,reception,Support,high
Smart Jewel,percentage issue,sarika,reception,Support,V.Urgent
Smart Jewel,print issue,Heta,reception,Report,V.Urgent
Smart Jewel,in ledger diamond weight issue,krishna,reception,Support,high
Smart Jewel,bag generate order not show,sarika,reception,Support,high
Smart Jewel,report set,Heta,reception,Report,high
Smart Jewel,ask some issue,krishna,reception,Support,V.Urgent
Smart Jewel,software close,Jagruti,reception,Support,V.Urgent
Smart Jewel,report print problem,Heta,reception,Report,high
Smart Jewel,"design report,broken report require transaction number and transaction date require",drashti,reception,Report,high
Smart Jewel,software close,Heta,reception,Support,V.Urgent
Smart Jewel,installation,Jagruti,reception,Support,V.Urgent
Smart Jewel,silver bag changes ,Jagruti,reception,Report,high
Smart Jewel,in bill report format add,drashti,reception,Report,high
Smart Jewel,ask style  metal issue,Sajeda,reception,Support,high
Smart Jewel,tag printing issue,sarika,reception,Support,high
Smart Jewel,Bag Card Stock return as per mail,krishna,sarika,New Req,V.Urgent
Smart Jewel,estimate other charges add issue,krishna,reception,Support,high
Smart Jewel,style master issue,Jagruti,reception,Support,high
Smart Jewel,color stone issue,jaytur,reception,Support,high
Smart Jewel,date extend(31st march),Sajeda,reception,Support,high
Smart Jewel,save option not show,sarika,reception,Support,high
Smart Jewel,labour rate issue,krishna,reception,Support,high
Smart Jewel,software hang,Sajeda,reception,Support,high
Smart Jewel,report modification(v.v.urgent),Heta,reception,Report,V.Urgent
Smart Jewel,software hang,vipul,reception,Support,V.Urgent
Smart Jewel,image not show,Heta,reception,Support,high
Smart Jewel,retail invoice amount problem,Heta,reception,Report,high
Smart Jewel,labour and gold rate fix and static ip bind,krishna,reception,Support,high
Smart Jewel,diamond sale gst problem,jaytur,reception,Support,high
Smart Jewel,tag issue,krishna,reception,Support,V.Urgent
Smart Jewel,tag print not show,Heta,reception,Report,V.Urgent
Smart Jewel,report changes,Heta,reception,Report,V.Urgent
Smart Jewel,tag problem and bag generate problem,sarika,reception,Support,high
Smart Jewel,in tax invoice label not show,Sajeda,reception,Support,high
Smart Jewel,"4 Reports changes , tag changes and 2 design report import ",drashti,drashti,Report,high
Smart Jewel,file save error,Heta,reception,Support,V.Urgent
Smart Jewel,clint master button show,Sajeda,reception,Support,high
Smart Jewel,clint master update,krishna,reception,Support,high
Smart Jewel,entry level problem,krishna,reception,Support,high
Smart Jewel,report changes,Heta,reception,Report,high
Smart Jewel,cost sheet changes,Heta,reception,Report,high
Smart Jewel,tag font change,shubham,reception,Tag,high
Smart Jewel,Tax invoice Bill GST Related Please  Solve the problem,Heta,reception,Report,high
Smart Jewel,tag problem,sarika,reception,Tag,high
Smart Jewel,gold rate changes and jewellery purchase print problem,jaytur,reception,Support,high
Smart Jewel,customer name not show in bill,drashti,reception,Report,high
Smart Jewel,Entry log show,drashti,drashti,Support,high
Smart Jewel, recovery report how to show ,shubham,reception,Support,high
Smart Jewel,in order delivery date not show ,drashti,reception,Support,high
Smart Jewel,printing issue,Jagruti,reception,Report,high
Smart Jewel,tag printer connect,Jagruti,reception,Support,high
Smart Jewel,design code not update,krishna,reception,Report,high
Smart Jewel,slid show field add,drashti,reception,Report,high
Smart Jewel,jewellery opening stock not found,shubham,reception,Support,high
Smart Jewel,purchase voucher issue,drashti,reception,Report,high
Smart Jewel,software close,krishna,reception,Support,high
Smart Jewel,label changes,krishna,reception,Support,high
Smart Jewel,material stock book issue,krishna,reception,Support,high
Smart Jewel,report column add,Heta,reception,Report,high
Smart Jewel,installation,Jagruti,reception,Support,V.Urgent
Smart Jewel,invoice and packing list update,Heta,reception,Support,V.Urgent
Smart Jewel,back up problem,Jagruti,reception,Support,V.Urgent
Smart Jewel,item entry level problem,sarika,reception,Support,high
Smart Jewel,image problem,Jagruti,reception,Support,high
Smart Jewel,bag generate problem,jaytur,reception,Support,high
Smart Jewel,in master price rate not show,sarika,reception,Support,high
Smart Jewel,bag cart printing issue,krishna,reception,Support,V.Urgent
Smart Jewel,new order problem,krishna,reception,Support,high
Smart Jewel,design report sales register changes,drashti,reception,Report,high
Smart Jewel,bag inter change,Heta,reception,Support,high
Smart Jewel,sale bill diamond size issue(urgent0,drashti,reception,Report,V.Urgent
Smart Jewel,ask stock related issue,sarika,reception,Support,high
Smart Jewel,bill print error,Jagruti,reception,Report,high
Smart Jewel,make type related mail to all,krishna,reception,Support,high
Smart Jewel,ask order issue,jaytur,reception,Support,high
Smart Jewel,work order number add in purchase order,krishna,reception,New Req,high
Smart Jewel,bar code issue,Heta,reception,Support,V.Urgent
Smart Jewel,report base metal issue and party sale master issue,krishna,reception,Report,V.Urgent
Smart Jewel,loss recovery issue,krishna,reception,New Req,high
Smart Jewel,trayal balance  name issue,krishna,reception,Support,V.Urgent
Smart Jewel,order detail material requirement report issue,drashti,reception,Report,high
Smart Jewel,sql server transfer ,Sajeda,reception,Support,high
Smart Jewel,Export Diamond Sale Book Open,Sajeda,reception,Support,V.Urgent
Smart Jewel,how to take backup,Jagruti,reception,Support,high
Smart Jewel,symbol add in invoice,drashti,reception,Report,high
Smart Jewel,software close,gaurav,reception,Support,high
Smart Jewel, print preview error(urgent work stop),drashti,reception,Report,V.Urgent
Smart Jewel,item issue ,Sajeda,reception,Support,high
Smart Jewel,voucher changes,chiranjiv,reception,Report,V.Urgent
Smart Jewel,diamond size add,sarika,reception,Support,V.Urgent
Smart Jewel,labor charge not count,krishna,reception,Support,high
Smart Jewel,color stone purchase issue and loss recovery issue,shubham,reception,Support,high
SJE Plus,sales executive name add,krishna,reception,Support,high
Smart Jewel,data check issue,Jagruti,reception,Support,high
Smart Jewel,bill issue,drashti,reception,Report,V.Urgent
Smart Jewel,sale return preview issue,drashti,reception,Report,high
Smart Jewel,in tag quality add,krishna,reception,Tag,high
Smart Jewel,invoice bank detail change,Heta,reception,Report,V.Urgent
Smart Jewel,report format problem,drashti,reception,Report,V.Urgent
Smart Jewel,tag printing error,Sajeda,reception,Support,high
Smart Jewel,accounting related issue,sarika,reception,Support,high
Smart Jewel,rounding issue ,krishna,reception,Support,high
Smart Jewel,report error(Urgent),vipul,reception,Report,V.Urgent
Smart Jewel,order issue,shubham,reception,Support,high
Smart Jewel,tag logo set,krishna,reception,Support,V.Urgent
SJE Plus,software close,krishna,reception,Support,high
Smart Jewel,style master order issue,sarika,reception,Support,V.Urgent
Smart Jewel,party diamond receive problem,krishna,reception,Support,high
Smart Jewel,bag split issue,sarika,reception,Support,V.Urgent
Smart Jewel,mountain entry issue,Jagruti,reception,Support,high
Smart Jewel,Installation and backup restore,drashti,drashti,Support,high
Smart Jewel,print out issue,Heta,reception,Report,high
Smart Jewel,tax print tax amount problem,drashti,reception,Report,high
Smart Jewel,installation,Sajeda,reception,Support,V.Urgent
Smart Jewel,Diamond Requirement Summary Report Changes,drashti,reception,Report,high
Smart Jewel,in item received dew date not show,krishna,reception,Support,high
Smart Jewel,installation,Sajeda,reception,Support,V.Urgent
Smart Jewel,"Jewelry Purchase Report,Material Issue Voucher Add ",Heta,reception,Report,high
Smart Jewel,software close,Jagruti,reception,Support,high
Smart Jewel,data delete,krishna,reception,Support,V.Urgent
Smart Jewel,material receive problem,jaytur,reception,Support,high
Smart Jewel,old sale return transfer,krishna,reception,Support,V.Urgent
Smart Jewel,LD worker issue return,Jagruti,reception,Support,high
Smart Jewel,net weight option not show,Heta,reception,Support,V.Urgent
Smart Jewel,making charge increase(urgent),kapil,reception,Support,V.Urgent
Smart Jewel,installation,Jagruti,reception,Support,V.Urgent
Smart Jewel,quotation report changes,drashti,reception,Report,V.Urgent
Smart Jewel,installation,Jagruti,reception,Installation,high
Smart Jewel,metal not  show in book(urgent),krishna,reception,Report,V.Urgent
Smart Jewel,installation,Heta,reception,Support,high
Smart Jewel,image not show,Jagruti,reception,Support,high
Smart Jewel,certoficate no.issue,Sajeda,reception,Support,high
Smart Jewel,Clint diamond receive issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,tag issue,drashti,reception,Support,V.Urgent
Smart Jewel,ask jewelry sale entry,sarika,reception,Support,high
Smart Jewel,billing issue,krishna,reception,Support,high
