project,desc,category,priority,assign to
Unique Plus,all customer data import to phone n all cstomer data export,Support,high,Janvi
Unique Plus,Employee master issue,Support,high,Janvi
Smart Rest,take backup n rawmaterial list,Support,high,Janvi
Smart Rest,decoration sleep,Support,high,Janvi
Unique Plus,Installation n new comapny setup,Installation,high,Janvi
Unique Plus,luxury bath data issue,Support,high,Janvi
Unique Plus,item edit issue n credit note issue,Support,high,Janvi
Unique Plus,last year sales person hide issue,Support,high,Janvi
Smart Rest,tablet issue (on call),Support,high,Janvi
superpos,one report import n check,Report,Low,Janvi
Smart Rest,menu item not show,Report,Low,parimal
Unique Plus,bill changes (add in bill),Report,Low,Janvi
Smart Rest,kds data truncate,Support,high,Janvi
Unique Plus,discount add also in  procedure,Support,high,Janvi
Smart Rest,serial wise bill no issue,Report,Low,Janvi
Unique Plus,Installation (all setup)(make new company),Installation,high,Janvi
Smart Rest,key n software close,Support,high,Janvi
Unique Plus,bank book entry audit n delete issue,Support,high,Janvi
Smart Rest,printer setup,Support,high,Janvi
Smart Rest,bill delete issue n bill no issue n old data restore issue,Support,high,Janvi
Unique Plus,report issue,Report,Low,Janvi
Unique Plus,invoice date issue n bill issue n layout issue,Report,Low,Janvi
Unique Plus,key delete,Support,high,Janvi
Smart Rest,print issue in tablet (kot alreday generated error),Report,Low,Pratik
Unique Plus,bank book n cash book report opening add,Support,high,Pratik
Unique Plus,bill issue(purchase ledger) n opening stock issue,Support,high,Janvi
Unique Plus,19-20 entry issue,Support,high,Janvi
Unique Plus,print issue (in ledger bill open n print issue),Report,Low,Janvi
Unique Plus,19-20 entry issue(bill edit issue),Report,Low,Janvi
Smart Rest,backdate bill entry,Support,high,Janvi
Unique Plus,Ledger n Update year issue(account name not update),Support,high,Janvi
Unique Plus,All Data changes (many bill edit n update in new year),Support,high,Janvi
Smart Rest,Bill party type change issue,Support,high,Janvi
Smart Rest,menu not show in tablet n item add training and 1 tablet apk add n software update in all tab,Report,Low,Janvi
Unique Plus,software close n Gst No change,Support,high,Janvi
Unique Plus,backup issue n data delete training,Support,high,Pratik
Unique Plus,backup issue n data delete training,Support,high,Janvi
Smart Rest,captain user add n user captain mapping set n tablet issue,Support,high,Janvi
Unique Plus,Bill discount issue n addless add n bill set repx changes,Report,Low,Janvi
Smart Rest,software close (key),Support,high,Janvi
Smart Rest,bill issue,Report,Low,Janvi
Smart Rest,Sr Mobile issue,Support,high,Janvi
Smart Rest,online softwer issue(network issue),Support,high,Pratik
Unique Plus,print issue,Report,Low,parimal
Unique Plus,gstr 3b n expense entry issue,Support,high,Janvi
Unique Plus,Tag Print issue (client side printer issue),Tag,high,Janvi
Unique Plus,bank entry changes (19-20 to 20-21) n ledger issue,Support,high,Janvi
superpos,sync issue,Support,high,Janvi
Unique Plus,Expense n gstr 3b n gstr1 issue n journal entry issue,Support,high,Janvi
Unique Plus,Sale layout set,Report,Low,Janvi
Smart Rest,how to customer detail add in bill training,Support,high,Janvi
Unique Plus,sale order discount calculation issue n software update n ledger cash book error issue,Support,high,Janvi
Unique Plus,some account Head Issue (Amount carry forward issue),Support,high,Janvi
Smart Rest,new user create,Support,high,Janvi
Unique Plus,backup issue n data delete training,Support,high,Janvi
Smart Rest,In all tablet menu issue n Installation,Installation,high,Janvi
Unique Plus,Software Close,Support,high,Janvi
Unique Plus,Many Changes In Software,Support,high,Janvi
Unique Plus,backup issue n data delete training,Support,high,Janvi
Unique Plus,Old Data Restore n Sale report layout set,Support,high,Janvi
Unique Plus,Installation n Sale Bill serial No Issue,Installation,high,Janvi
Unique Plus,Software currpt (Installation)  ,Installation,high,Janvi
Unique Plus,luxury bath data transfer,Support,high,Janvi
Unique Plus,Give Update n check Issue (ledger n item master) n item rate update script,Support,high,Janvi
Unique Plus,gstr1 report export file format issue,Report,Med,Janvi
Smart Rest,item master ,Support,high,Janvi
Unique Plus,tag issue,Tag,high,Janvi
Smart Rest,prit issue,Report,Low,Janvi
Unique Plus,luxury bath data transfer one pc to other,Support,high,Janvi
Smart Rest,Software close,Support,high,Janvi
Smart Rest,print problem,Report,Low,Janvi
Smart Rest,KEY,Support,high,Vaibhavi
Smart Rest,date issue n tablet issue,Support,high,Janvi
Unique Plus,Make credit debit note book profit loss issue gstr report issue n make new 2 report for credit denbit note,Support,high,Janvi
Unique Plus,Branch transfer book create n repx set n design report issue,Support,high,Janvi
Smart Rest,Installation,Installation,high,Janvi
Unique Plus,party details,Support,high,Janvi
Smart Rest,software close,Support,high,Vaibhavi
Smart Rest,database confrigaration,Support,high,Janvi
Unique Plus,tag related (New tag format),Tag,high,Janvi
Unique Plus,bill issue,Report,Low,Janvi
Smart Rest,Bill issue (Bill modify Training),Report,Low,Janvi
Smart Rest,Bill format issue n sale addless set n setup changes,Report,Low,Janvi
Unique Plus,json format regarding,Support,high,Janvi
superpos,how to add items in panel training,Support,high,Janvi
Smart Rest,bill issue,Report,Low,Janvi
Unique Plus,quatation not open(book not open)(column dont have unique values error),Support,high,Janvi
Unique Plus,stock issue n item delete n ledger issue n  image upload n increase decrease form open n bill preview issue n repx changes,Support,high,Janvi
Unique Plus,purchase issue(tax not calculate),Support,high,Janvi
Unique Plus,Installation,Installation,high,Janvi
Unique Plus,new tax slab master add n set in all book n procedure data field add,Support,high,Janvi
Smart Rest,in bill no change,Report,Low,Janvi
Smart Rest,print issue,Report,Low,parimal
Smart Rest,Purchase n purchase return issue n stock report amount issue,Support,high,Janvi
Unique Plus,backup restore (Installation),Installation,high,Janvi
Smart Rest,run time error,Support,high,Janvi
superpos,new setup update ,Support,high,Janvi
Unique Plus,settlement entry training n b/os issue,Support,high,Janvi
Unique Plus,design report issue,Report,Low,Janvi
Smart Rest,Printer Setup(on call hardware person),Support,high,Janvi
superpos,new setup update ,Support,high,Janvi
Unique Plus,Make User Login,Support,high,Janvi
Unique Plus,make new purchase return rxip,New Req,Med,Janvi
Smart Rest,run time error(new installlation)(all setup),Installation,high,Janvi
Unique Plus,Printer issue,Support,high,Janvi
Smart Rest,print issue (kitchen printer),Report,Low,parimal
Smart Rest,Backdate entry problem(give training),Support,high,Janvi
Unique Plus,Credit Note n sale bill entry issue,Support,high,Janvi
Unique Plus,payment bank issue,Support,high,Saloni
Smart Rest,user rights remove,Support,high,Janvi
Unique Plus,tag printing issue (tag repx change),Tag,high,Janvi
Smart Rest,run time error,Support,high,Janvi
Smart Rest,replace gk kitchen priner with sns kitchen printer n printer set in group n salebook,Support,high,Janvi
Smart Rest,software close,Support,high,Vaibhavi
Unique Plus,Group add n item add training,Support,high,Janvi
superpos,superpos key n software issue,Support,high,parimal
Unique Plus,stock conversion n sale entry training,Support,high,Janvi
Smart Rest,in bill 1 item delete issue,Support,high,Janvi
Smart Rest,software issue,Support,high,Janvi
Smart Rest,gst add in bill & preview changes,Support,high,Janvi
Smart Rest,software close,Support,high,Vaibhavi
Smart Rest,Installation (pc format),Installation,high,Janvi
Smart Rest,software close issue n software slow issue,Support,high,Janvi
Unique Plus,ledger report print issue n gstr1 issue,Report,Med,Janvi
Smart Rest,one bill not show in sr mobile issue n one bill delete,Report,Low,Janvi
Smart Rest,softaware close,Support,high,Janvi
Smart Rest,softaware close n one bill customer add issue,Support,high,Janvi
Unique Plus,Fright charge add n add in all book n sale repx changes,Support,high,Janvi
Unique Plus,software close in node pc issue,Support,high,Janvi
Unique Plus,sale report issue,Report,Low,Janvi
Smart Rest,Repx Changes And Stored Procedure,Support,high,parimal
Unique Plus,gstr 3b value wrong issue,Support,high,Pratik
Smart Rest,KEY,Support,high,Vaibhavi
Unique Plus,item wise sales report export (old n new year),Report,Low,Janvi
Unique Plus,Bill Rxip Import n changes in old repx,Report,Low,Janvi
Unique Plus,Installation,Installation,high,parimal
Unique Plus,Installation,Installation,high,parimal
Smart Rest,sale issue,Support,high,Janvi
Smart Rest,Purchase Module training n all report training n account create error (help pratik sir),Support,high,Janvi
Smart Rest,march back up issue (old data restore)(22 march),Support,high,Janvi
Smart Rest,in account master account not create error,Support,high,Janvi
Smart Rest,key delete n software configuration,Support,high,Janvi
Unique Plus,Installation in node pc n account city add issue,Installation,high,Janvi
Smart Rest,printer Installation,Installation,high,Janvi
Smart Rest,New Requirement,New Req,Med,parimal
Smart Rest,Date issue,Report,Low,parimal
Unique Plus,sale repx changes n field add in procedure,Support,high,Janvi
Unique Plus,kitchen printer Installation,Installation,high,Janvi
Smart Rest,account partytype issue,Support,high,Janvi
Unique Plus,Installation,Installation,high,Janvi
Unique Plus,Reconislation report issue (in 3 year),Report,Low,Janvi
Unique Plus,Itemwise ledger issue (stock issue )(item rate issue)(in 3 year) n update year issue,Support,high,Janvi
Unique Plus,cess column add n repx issue,Support,high,Janvi
superpos,user name update(report new requirenment),Support,high,parimal
Smart Rest,kot print issue(in bill how t add item n delete item training),Report,Low,Janvi
Unique Plus,software close,Support,high,Janvi
Unique Plus,discount issue (addless add n procedure changes n repx changes),Support,high,Janvi
Unique Plus,key delete (net issue)(on call),Support,high,Janvi
Unique Plus,cess add related talk n issue,Support,high,Janvi
Unique Plus,exclusive rate n item name set in bill repx n billwise otstanding report issue,Report,Low,Janvi
Unique Plus,Bill print issue (bill left side cut) n printer offline issue,Report,Low,Janvi
Smart Rest,new year generate,Support,high,Janvi
Smart Rest,KEY,Support,high,Vaibhavi
Unique Plus,contact export,Support,high,Janvi
Smart Rest,tab and sr mobile not working,Support,high,Janvi
Smart Rest,New year generate,Support,high,Janvi
Unique Plus,account realated,Support,high,Janvi
Unique Plus,cgst sgst n igst issue n many issue,Support,high,Janvi
Smart Rest,sr mobile,Support,high,Janvi
Smart Rest,party bill add,Support,high,Janvi
Smart Rest,tab not connect,Support,high,parimal
Unique Plus,bank book entry issue,Support,high,Janvi
Smart Rest,software close issue,Support,high,Janvi
Smart Rest,KEY Delete,Support,high,Vaibhavi
Smart Rest,sale report print issue,Report,Low,Janvi
Unique Plus,Installation,Installation,high,Janvi
Smart Rest,Installation,Installation,high,parimal
Unique Plus,in tax free slab add less round off add,Support,high,Janvi
Unique Plus,Cash Book Entry Issue (Not Edit or delete)(object refrence error throw),Support,high,Janvi
Unique Plus,in purchase book cess issue n billof supply item name issue,Support,high,Janvi
Smart Rest,Sale Report print issue n groupwise sale report issue,Report,Low,Janvi
Smart Rest,softwre close (server currpt )(re Installation) n printer issue  n printer install -uninstall also server uninstall(client side net slow issue),Installation,high,Janvi
Smart Rest,itemwise sale report issue,Report,Low,Janvi
Unique Plus,software close,Support,high,Janvi
Smart Rest,Bill Print Issue,Report,Low,Janvi
Smart Rest,july sale issue,Report,Low,Janvi
Smart Rest,Installation (PC Format) n printer Installation n bill format change n screen resoltution changes,Installation,high,Janvi
Smart Rest,table addition issue in salebook n bill delete,Support,high,Janvi
Smart Rest,In cash login all rights remove ,Support,high,Janvi
Smart Rest,Bill Issue (Card Bill issue),Report,Low,Janvi
Smart Rest,july sale ,Report,Low,Janvi
Smart Rest,Installation n old server remove(server transfer),Installation,high,parimal
Smart Rest,printer ip change issue,Support,high,Janvi
Smart Rest,Installation (tablet issue),Installation,high,Janvi
Smart Rest,customer wise bill entry,Support,high,Janvi
Unique Plus,purchase rate issue (decimal issue) n purchase bill preview issue,Support,high,Janvi
Unique Plus,expense item entry issue n gstr3b issue,Support,high,Janvi
Smart Rest,"paytm option add ,deleivery charge option add n add item rights",Support,high,Janvi
Smart Rest,yesterday bill entry issue,Support,high,Janvi
Smart Rest,Printer Installation n sr mobile issue,Installation,high,Janvi
Smart Rest,bill file not preview n print,Report,Low,Janvi
Smart Rest,bill date issue,Report,Low,Janvi
Smart Rest,Installation+tablet n give software training,Installation,high,Janvi
Unique Plus,account party type change n journal entry n expense entry issue,Support,high,Janvi
Smart Rest,raw material entry issue (receipe),Report,Low,Janvi
Smart Rest,item wise sale report issue,Report,Low,Janvi
Smart Rest,item add n printer issue,Report,Low,Janvi
Smart Rest,new company (Installation),Installation,high,Janvi
Unique Plus,web item synchronize issue,Support,high,Janvi
Smart Rest,menu update n sr mobile issue,Support,high,Janvi
Smart Rest,bill delete,Report,Low,Janvi
Smart Rest,Installation,Installation,high,Janvi
Smart Rest,purchase entry issue,Support,high,Janvi
Smart Rest,item property add issue (on call)(client side net issue),Support,high,Janvi
Smart Rest,software close (Installation),Installation,high,parimal
Smart Rest,print issue (printer n network issue),Report,Low,Janvi
Smart Rest,"item master issue ,bill print issue n new user create n sale report issue",Report,Low,Janvi
Smart Rest,journal n gstr report regarding,Report,Med,Janvi
Smart Rest,server transfer,Support,high,Janvi
Smart Rest,new year generate,Support,high,Janvi
Smart Rest,kitchen printer issue,Support,high,Janvi
Smart Rest,in 3 book repx changes n Online menu update,Report,Low,Janvi
Unique Plus,new year generate,Support,high,Janvi
Smart Rest,server transfer,Support,high,Janvi
Smart Rest,format pc Installation  (take backup)/ printer issue,Installation,high,Janvi
Smart Rest,in expense book bank acc add,Support,high,Janvi
Unique Plus,item code change n stock transfer n new item create,Support,high,Janvi
Smart Rest,bill repx changes n pos item order wise issue,Report,Low,Janvi
Smart Rest,Installation,Installation,high,Janvi
Smart Rest,server currpt-Installation,Installation,high,Janvi
Smart Rest,Installation,Installation,high,Janvi
Unique Plus,software update issue,Support,high,Janvi
Smart Rest,software close issue n tablet close issue n token no issue n billdate issue,Support,high,Janvi
Smart Rest,back up issue,Support,high,Janvi
Smart Rest,make credit book n user rights issue n cash book entry training n acc head add n purchase return book create n heads add in acc master,Support,high,Janvi
Smart Rest,kot print issue,Report,Low,Janvi
Unique Plus,Utgst n cgst outstate tax add,Support,high,Janvi
Smart Rest,order no issue (computer date issue),Support,high,Janvi
Smart Rest,bill print issue n software close issue,Report,Low,Janvi
Smart Rest,tablet close issue,Support,high,Janvi
Unique Plus,software close (server currpt -Installation),Support,high,Janvi
Smart Rest,software issue (data issue in sns branch),Support,high,Janvi
superpos,Althan Key register,Support,high,Janvi
Unique Plus,AgentWise comission report n shipping charge add n repx changes,Report,Low,Janvi
Smart Rest,key delete,Support,high,Vaibhavi
Smart Rest,KEY,Support,high,Vaibhavi
Unique Plus,tag print issue n tag changes n bill print issue,Report,Low,Janvi
Smart Rest,menu update,Support,high,Janvi
Smart Rest,profit loss ledger issue,Report,Low,Janvi
Unique Plus,"Item Qty issue, unit add ,bill edit update issue n repx changes",Report,Low,Janvi
Unique Plus,sale order entry calculation wrong issue,Report,Low,Janvi
Smart Rest,Make online book n bill entry issue,Support,high,Janvi
Smart Rest,KEY,Support,high,Vaibhavi
superpos,bill issue n  changes in soft setting n prcedure n bill changes n sub group colour traing n sub grp font change n sort order wise,Support,high,Janvi
Smart Rest,tablet not open,Support,high,Janvi
Unique Plus,saleform not open  n ledger entry audit issue,Support,high,parimal
Unique Plus,bank book bank ac n journal entry error n expense book n expense item create n entry training,Support,high,Janvi
Smart Rest,item delete restore training n items delete n sub groups delete training,Support,high,Janvi
Smart Rest,groupwise kot issue,Report,Low,Janvi
Unique Plus,outstanding summary report n settlement entry training,Report,Low,Janvi
Smart Rest,march details issue n sale report n key delete,Support,high,Janvi
Smart Rest,sms verification,Support,high,Vaibhavi
Smart Rest,Installation (pc format),Installation,high,Janvi
Smart Rest,daily stock uses report issue,Report,Low,Janvi
Smart Rest,Bill Preview Change n old data restoe for sale report,Report,Low,Janvi
Smart Rest,cash book entry issue,Support,high,Janvi
Smart Rest,admin password change,Support,high,Janvi
Unique Plus,gstr 1 issue n sale return entry issue,Support,high,Janvi
Smart Rest,Installation n printer install,Installation,high,Janvi
Unique Plus,sms issue (temporary login in panel),Support,high,Janvi
Smart Rest,sr mobile issue (install n uninstall error) n otp given,Installation,high,Janvi
Unique Plus,sale n purchase report training(on call)(no internet connection),Support,high,Janvi
Unique Plus,increase form open in 2 comapny n check stock,Support,high,Janvi
Smart Rest,tablet close,Support,high,Janvi
Smart Rest,run time error n parcel charge add n sr mobile n bill issue,Support,high,Janvi
Unique Plus,update year itemid error,Support,high,Janvi
Smart Rest,bill issue (2 nd july bill entery in 31 st march 2020),Report,Low,Janvi
Unique Plus,gstr report issue,Report,Med,Janvi
Smart Rest,item rights n item add n sr mobile company add,Support,high,Janvi
Smart Rest,new year ganrate,Support,high,Pratik
superpos,item add n rate change rights n report issue,Report,Low,Janvi
Unique Plus,item stock update errorn n item id error,Report,Low,Janvi
Unique Plus,software close,Support,high,Janvi
Smart Rest,Sale Issue (June),Support,high,Janvi
Smart Rest,Phone no. add in bill n partyname delete,Report,Low,Janvi
Smart Rest,new year generate n sr mobile,Support,high,Janvi
Smart Rest,item grp gst add issue n in bill amount wrong show n make new sr moble,Report,Med,Janvi
Unique Plus,purchase bill edit update issue ,Report,Low,Janvi
Unique Plus,gstr1 report issue alter procedure,Report,Med,Janvi
Unique Plus,purchase date n sale form issue(tab key),Support,high,Janvi
Smart Rest,bill print issue,Report,Low,Janvi
Unique Plus,comapny not open / data suspect,Support,high,Janvi
Smart Rest,Software yesterdate entry issue (date issue) n key,Support,high,Janvi
Smart Rest,new year generate ,Support,high,Janvi
Unique Plus,18% gst add in all items n new yera generate,Support,high,Janvi
Smart Rest,rate changes,Support,high,Janvi
Smart Rest,rate changes n items add n edit n kot n bill n printer issue,Support,high,Janvi
Smart Rest,item issue bill delete issue n new year generate n printer issue n user change N  group create,Support,high,Janvi
Smart Rest,take all backup (net issue),Support,high,Janvi
Smart Rest,serial wise bill no,Report,Low,parimal
Smart Rest,items n discount rights n discount issue,Report,Low,Janvi
Smart Rest,combo department issue N MANY ISSUE,Support,high,Janvi
Unique Plus,hard disk issue (Installation),Installation,high,Janvi
Smart Rest,all bill entry in 31 st march issue n old company delete (nstallation),Report,Low,Janvi
Unique Plus,reconsilation issue(opening recesilation delete in new year n old to update n last year),Support,high,Janvi
Smart Rest,gstr1 report show (SMR REPORTS Installation),Installation,high,Janvi
Smart Rest,view date allow rights remove n one login create,Support,high,Janvi
Smart Rest,group add n groupwise kot set,Report,Low,Janvi
Unique Plus,data restore pending work,Support,high,Janvi
Unique Plus,stock as on date n profit loss issue,Support,high,Janvi
Unique Plus,bill mistake,Report,Low,Janvi
Smart Rest,sr mobile issue n Installation n new year generate,Installation,high,Janvi
Smart Rest,gst no  add,Report,Med,Janvi
Smart Rest,audit data(ks charcoal) / take backup n Installation,Installation,high,Janvi
Smart Rest,sr mobile ,Support,high,Janvi
Smart Rest,bill delete (wrong entry),Report,Low,Janvi
Unique Plus,item rate n gst issue in stock as on date ,Support,high,Janvi
Unique Plus,bank entry issue n sql error,Support,high,Janvi
Smart Rest,all branch june data report,Report,Low,Janvi
Unique Plus,june sale report work n hold bill issue,Report,Low,Janvi
Unique Plus,june sale report work,Report,Low,Janvi
Unique Plus,june sale report work,Report,Low,Janvi
Unique Plus,june sale report work,Report,Low,Janvi
Smart Rest,software close ,Support,high,Janvi
Unique Plus,sr mobile otp issue n only current year data show,Support,high,Janvi
Unique Plus,smr report issue n issue department issue,Report,Low,parimal
Unique Plus,2 server uninstall n 1 new install n data issue,Installation,high,Janvi
Smart Rest,sr mobile remove and otp issue n kamrej remove,Support,high,Janvi
Unique Plus,sale form issue bill not edit update,Support,high,Janvi
Unique Plus,credit note  issue,Support,high,parimal
Smart Rest,group wise combo item seperate n favourites add,Support,high,Janvi
Smart Rest,gst add n check bill n bill delete,Report,Med,Janvi
Smart Rest,all branch june excel sheet,Support,high,Janvi
Unique Plus,purchase issue (item not edit update),Support,high,Janvi
Unique Plus,performa invoice date not edit update,Support,high,Janvi
Unique Plus,New year generate n sale report training n stock check,Support,high,Janvi
Unique Plus,bill wise os issue (gujarat sales)(cabr),Report,Low,Janvi
Smart Rest,KEY,Support,high,Vaibhavi
Smart Rest,gst number add,Report,Med,Janvi
Unique Plus,credit note last year to new year transfer,Support,high,Janvi
Smart Rest,bill print issue (printer Installation issue),Installation,high,Janvi
Unique Plus,new year generate n bill check n printer issue,Support,high,Janvi
Smart Rest,race course baroda data (15-20 year monthwise),Support,high,Janvi
Unique Plus,sale n purchase report issue,Report,Low,Janvi
Unique Plus,credit note last year to new year transfer n bill issue check n make new design report,Support,high,Janvi
Smart Rest,software close,Support,high,Vaibhavi
Smart Rest,printer Installation (printer issue),Installation,high,Janvi
Unique Plus,Installation,Installation,high,parimal
Smart Rest,year ending,Support,high,Janvi
Smart Rest,Customer Training ,Support,high,parimal
Unique Plus,sms customer import,Support,high,Janvi
Unique Plus,bill wise os issue,Support,high,Janvi
Smart Rest,bill gst issue,Report,Med,Janvi
Unique Plus,server name n report issue,Report,Low,Janvi
superpos,bill issue n give update,Report,Low,Janvi
Smart Rest,bill gst issue (training how to edit bill),Report,Med,Janvi
Unique Plus,software close,Support,high,Janvi
Smart Rest,software configuration,Support,high,Janvi
Smart Rest,sms issue,Support,high,Saloni
Smart Rest,new server Installation (old data restore)(make 2 new company),Support,high,Janvi
Smart Rest,software close,Support,high,Janvi
Smart Rest,year ending,Support,high,Janvi
Smart Rest,sms regarding,Support,high,Janvi
Smart Rest,old sale report,Report,Low,Janvi
Unique Plus,sms issue n sheet import issue,Support,high,Janvi
Smart Rest,software close,Support,high,Janvi
Smart Rest,in one bill cash n paytm account merge option (ramarks add in bill preview),Support,high,Janvi
Smart Rest,software close,Support,high,Janvi
Smart Rest,in tablet id add ,Support,high,parimal
Smart Rest,Gift voucher Disc Add,Support,high,Janvi
Smart Rest,in tablet software add 9Installation),Support,high,Janvi
Smart Rest,printout issue (kot print issue),Report,Low,Janvi
Smart Rest,how to edit update kot n bill give training,Report,Low,Janvi
Unique Plus,software close n item gst nil update training n customer import n item file export group wise,Support,high,Janvi
Unique Plus,sms issue,Support,high,Janvi
Smart Rest,print issue,Report,Low,Janvi
Smart Rest,vender imformation (total vendor sheet n purchase bill report),Report,Low,Janvi
Smart Rest,sr mobile otp issue,Support,high,Janvi
Unique Plus,sale bill edit issue n amount issue,Support,high,Janvi
Unique Plus,display issue,Support,high,Pratik
Smart Rest,"group item add, kot n bill repx changes n printer issue",Support,high,Janvi
Unique Plus,sales report issue,Report,Low,Janvi
Smart Rest,iteam add,Support,high,Janvi
Smart Rest,KEY delete,Support,high,Vaibhavi
Smart Rest,purchase issue,Support,high,Janvi
Smart Rest,grp add n item add n itemname2 add in all items,Support,high,Janvi
Unique Plus,software close (data suspect),Support,high,Janvi
Unique Plus,report data issue n physical stock not match n bill edit issue n serial no issue,Report,Low,Janvi
Smart Rest,sr mobile issue,Support,high,Janvi
Smart Rest,software issue,Support,high,Janvi
Unique Plus,Ledger n Bank book entry issue,Support,high,Janvi
Smart Rest,in store new year generate n bill issue,Support,high,Janvi
Unique Plus,"gstr 1 ,gstr3b n ledeger issue",Support,high,Janvi
Unique Plus,bill edit issue n item qty n rate issue,Report,Low,Janvi
Smart Rest,KEY delete,Support,high,Vaibhavi
Smart Rest,date issue,Report,Low,Janvi
Unique Plus,sale order entry issue n user issue,Support,high,Janvi
Unique Plus,billwise outstanding issue n gstr1 isue,Support,high,Janvi
Smart Rest,software close n yesterday billdate entry issue,Support,high,Janvi
Unique Plus,bil wise outstanding issue,Report,Low,Janvi
Smart Rest,1 extra bill remove,Report,Low,Janvi
Unique Plus,in old  year n new yera item add issue (item id problem),Support,high,Janvi
Smart Rest,sr mobile,Support,high,Janvi
Unique Plus,sale boook purchase book make in new company full gst setup,Support,high,Janvi
Unique Plus,many issue,Support,high,Janvi
Smart Rest,tab close(in tablet wifi issue),Support,high,parimal
Unique Plus,in bill discount option add,Report,Low,Janvi
Smart Rest,march ending n sr mobile n key delete n amc,Support,high,Janvi
Unique Plus,year ending,Support,high,Janvi
Smart Rest,year ending,Support,high,parimal
Unique Plus,year ending,Support,high,Janvi
Unique Plus,item not save error,Support,high,Janvi
Smart Rest,user issue,Support,high,Janvi
Smart Rest,print issue (printer problem),Report,Low,Janvi
Smart Rest,year ending n company name change n bill check,Support,high,Janvi
Smart Rest,groupwise kot print issue,Report,Low,Janvi
Smart Rest,not call / new year generate,Support,high,parimal
Smart Rest,many issue,Support,high,Pratik
Smart Rest,bill issue(old year bill entry delete)(entry issue),Report,Low,Janvi
Smart Rest,new year ganrate n design report issue,Support,high,Janvi
Smart Rest,company name change,Support,high,Janvi
Smart Rest,new year generate ,Support,high,Janvi
Smart Rest,new year generate ,Support,high,parimal
Smart Rest,software not open(data suspect),Support,high,Janvi
Smart Rest,item add rights,Support,high,Janvi
Smart Rest,sr mobile close,Support,high,Janvi
Smart Rest,new year generate ,Support,high,Janvi
Unique Plus,many issue,Support,high,Janvi
Unique Plus,acc add n all form entery issue,Support,high,Janvi
Smart Rest,year ending,Support,high,Janvi
Smart Rest,sale form not open error,Support,high,Janvi
Smart Rest,bill delete,Support,high,Janvi
Smart Rest,new year generate ,Support,high,Janvi
Smart Rest,2 new book create swiggy n zomato n address change,Support,high,Janvi
Smart Rest,new year generate,Support,high,Janvi
Smart Rest,many issue(ledger n stock n billwise os),Support,high,Janvi
Smart Rest,item gst issue n how to add item training n give gst add rights ,Support,high,Janvi
Smart Rest,database configuration server  currpt Installation,Installation,high,Janvi
Smart Rest,all rawmaterial data delete stock zero n all material delete,Support,high,Janvi
Unique Plus,take backup,Support,high,Janvi
Smart Rest,new year generate n bill check,Support,high,Janvi
Smart Rest,new year generate n in bill one message set,Support,high,Janvi
Smart Rest,KEY n new year generate  check bill,Support,high,Janvi
Smart Rest,new year ganerate,Support,high,Janvi
Smart Rest,new year ganerate,Support,high,parimal
Smart Rest,new year ganerate,Support,high,Janvi
Unique Plus,new year ganerate,Support,high,Janvi
Smart Rest,printer issue(many time install uninstall),Installation,high,Janvi
Smart Rest,new year generate n bill check,Support,high,Janvi
Unique Plus,credit note issue,Support,high,Janvi
Smart Rest,menu add n many changes in report n software,Report,Low,Janvi
Unique Plus,Installation,Installation,high,Pratik
Unique Plus,all items tax change,Report,Low,Janvi
Smart Rest,software configuration n new year generate,Support,high,Janvi
Unique Plus,bill issue order wise bill set,Support,high,Janvi
Smart Rest,new year ganrate,Support,high,Janvi
Smart Rest,back up,Support,high,parimal
Unique Plus,in node pc software issue ,Support,high,Janvi
Unique Plus,in 2 company new year generate n del 18-19 company,Support,high,Janvi
Smart Rest,menu update n make new comapny,Support,high,Janvi
Smart Rest,19-20 year delete in parcel n rest company,Support,high,Janvi
Smart Rest,new  year generate,Support,high,Janvi
Smart Rest,new  year generate,Support,high,Janvi
Smart Rest,menu update n training,Support,high,Janvi
Smart Rest,new  year generate,Support,high,Janvi
Unique Plus,error (purchase return bill not save),Support,high,Janvi
Smart Rest,table no issue layout save,Support,high,Janvi
Smart Rest,in 2 company new year generate n all update n error in new year generate,Support,high,Janvi
Smart Rest,new year generate,Support,high,Janvi
Smart Rest,softaware issue,Support,high,Pratik
Smart Rest,take backup n new year generate,Support,high,Janvi
Smart Rest,printer issue(bill not print),Report,Low,Janvi
Smart Rest,new year generate,Support,high,Janvi
Smart Rest,tablet issue,Support,high,Janvi
Smart Rest,bill save (audit issue),Report,Low,Janvi
Smart Rest,bill issue(19-20 year stock zero),Report,Low,Janvi
Unique Plus,tax issue(TAX DOUBLE CALCULATE),Support,high,Janvi
Unique Plus,Installation,Installation,high,Pratik
Unique Plus,credit note issue (script),Support,high,Janvi
Smart Rest,tablet issue salebook gst set n remarks issue,Support,high,Janvi
Unique Plus,purchase entry issue (duplicate key error),Support,high,Janvi
Smart Rest,data base configuration,Support,high,Janvi
Smart Rest,data base configuration/ Installation n new year generate,Support,high,Janvi
Unique Plus,tax issue in purchase form,Support,high,Janvi
Smart Rest,software close,Support,high,Janvi
Smart Rest,sale delete,Support,high,Janvi
Smart Rest,new year generate,Support,high,Janvi
Smart Rest,party add,Support,high,Janvi
Smart Rest,item group n item delete,Support,high,Janvi
Smart Rest,item nonac n parcel rate issue n purchase opening entry,Support,high,Janvi
Smart Rest,admin password issue,Support,high,Janvi
